name	accesion	country	date	WA	improvedname	lineage
A_MT118690	MT118690	USA	2019	GB	MT118690_USA_2019	A.2.b.2_111
A_MT118693	MT118693	USA	2019	GB	MT118693_USA_2019	A.2.b.2_111
A_MT118708	MT118708	USA	2019	GB	MT118708_USA_2019	A.2.b.2_111
A_PP944377	PP944377	USA	2023-03-01	GB	PP944377_USA_2023-03-01	A.2.b.2_111
A_PP944378	PP944378	USA	2023-03-01	GB	PP944378_USA_2023-03-01	A.2.b.2_111
A_PP944379	PP944379	USA	2023-04-01	GB	PP944379_USA_2023-04-01	A.2.b.2_111
A_PP944380	PP944380	USA	2023-04-01	GB	PP944380_USA_2023-04-01	A.2.b.2_111
A_PP944381	PP944381	USA	2023-04-01	GB	PP944381_USA_2023-04-01	A.2.b.2_111
A_PP944382	PP944382	USA	2023-04-01	GB	PP944382_USA_2023-04-01	A.2.b.2_111
A_PP944383	PP944383	USA	2023-04-01	GB	PP944383_USA_2023-04-01	A.2.b.2_111
A_PQ634895	PQ634895	USA	2020-01-16	GB	PQ634895_USA_2020-01-16	A.2.b.2_111
A_PQ634900	PQ634900	USA	2020-02-16	GB	PQ634900_USA_2020-02-16	A.2.b.2_111
A_PQ634954	PQ634954	USA	2020-01-12	GB	PQ634954_USA_2020-01-12	A.2.b.2_111
A_MW221993	MW221993	Australia	2019-10-02	GB	MW221993_Australia_2019-10-02	A.2.b.2_111
A_OP904003	OP904003	Australia	2019-07-06	GB	OP904003_Australia_2019-07-06	A.2.b.2_111
A_OP904005	OP904005	Australia	2019-07-06	GB	OP904005_Australia_2019-07-06	A.2.b.2_111
A_OP904008	OP904008	Australia	2019-09-15	GB	OP904008_Australia_2019-09-15	A.2.b.2_111
A_OP904010	OP904010	Australia	2019-09-13	GB	OP904010_Australia_2019-09-13	A.2.b.2_111
A_OP904012	OP904012	Australia	2019-09-14	GB	OP904012_Australia_2019-09-14	A.2.b.2_111
A_OP904015	OP904015	Australia	2019-09-14	GB	OP904015_Australia_2019-09-14	A.2.b.2_111
A_OP904022	OP904022	Australia	2019-09-21	GB	OP904022_Australia_2019-09-21	A.2.b.2_111
A_OP904025	OP904025	Australia	2019-09-20	GB	OP904025_Australia_2019-09-20	A.2.b.2_111
A_OP904027	OP904027	Australia	2019-09-21	GB	OP904027_Australia_2019-09-21	A.2.b.2_111
A_OP904028	OP904028	Australia	2019-09-20	GB	OP904028_Australia_2019-09-20	A.2.b.2_111
A_OP904029	OP904029	Australia	2019-09-21	GB	OP904029_Australia_2019-09-21	A.2.b.2_111
A_OP904031	OP904031	Australia	2019-09-23	GB	OP904031_Australia_2019-09-23	A.2.b.2_111
A_OP904083	OP904083	Australia	2017-09-27	GB	OP904083_Australia_2017-09-27	A.2.b.2_111
A_OP904095	OP904095	Australia	2017-08-14	GB	OP904095_Australia_2017-08-14	A.2.b.2_111
A_OP904096	OP904096	Australia	2017-11-30	GB	OP904096_Australia_2017-11-30	A.2.b.2_111
A_OP904113	OP904113	Australia	2018-06-29	GB	OP904113_Australia_2018-06-29	A.2.b.2_111
A_OP904121	OP904121	Australia	2018-05-04	GB	OP904121_Australia_2018-05-04	A.2.b.2_111
A_OP904126	OP904126	Australia	2018-06-22	GB	OP904126_Australia_2018-06-22	A.2.b.2_111
A_OP904133	OP904133	Australia	2018-07-02	GB	OP904133_Australia_2018-07-02	A.2.b.2_111
A_OP904134	OP904134	Australia	2018-06-29	GB	OP904134_Australia_2018-06-29	A.2.b.2_111
A_OP904135	OP904135	Australia	2018-07-01	GB	OP904135_Australia_2018-07-01	A.2.b.2_111
A_OP904145	OP904145	Australia	2019-10-02	GB	OP904145_Australia_2019-10-02	A.2.b.2_111
A_OP904146	OP904146	Australia	2019-09-27	GB	OP904146_Australia_2019-09-27	A.2.b.2_111
A_OP904152	OP904152	Australia	2019-10-02	GB	OP904152_Australia_2019-10-02	A.2.b.2_111
A_OP904156	OP904156	Australia	2019-10-06	GB	OP904156_Australia_2019-10-06	A.2.b.2_111
A_OP904161	OP904161	Australia	2021-06-27	GB	OP904161_Australia_2021-06-27	A.2.b.2_111
A_OP904162	OP904162	Australia	2021-06-28	GB	OP904162_Australia_2021-06-28	A.2.b.2_111
A_OP904163	OP904163	Australia	2021-08-03	GB	OP904163_Australia_2021-08-03	A.2.b.2_111
A_OP904164	OP904164	Australia	2021-07-07	GB	OP904164_Australia_2021-07-07	A.2.b.2_111
A_OP904165	OP904165	Australia	2021-06-15	GB	OP904165_Australia_2021-06-15	A.2.b.2_111
A_OP904166	OP904166	Australia	2021-06-09	GB	OP904166_Australia_2021-06-09	A.2.b.2_111
A_OP904167	OP904167	Australia	2021-07-01	GB	OP904167_Australia_2021-07-01	A.2.b.2_111
A_OP904168	OP904168	Australia	2021-07-16	GB	OP904168_Australia_2021-07-16	A.2.b.2_111
A_OP904169	OP904169	Australia	2021-07-09	GB	OP904169_Australia_2021-07-09	A.2.b.2_111
A_OP904170	OP904170	Australia	2021-06-30	GB	OP904170_Australia_2021-06-30	A.2.b.2_111
A_OP904171	OP904171	Australia	2021-07-09	GB	OP904171_Australia_2021-07-09	A.2.b.2_111
A_OP904173	OP904173	Australia	2021-06-21	GB	OP904173_Australia_2021-06-21	A.2.b.2_111
A_OP904174	OP904174	Australia	2021-08-12	GB	OP904174_Australia_2021-08-12	A.2.b.2_111
A_OP904175	OP904175	Australia	2019-07-27	GB	OP904175_Australia_2019-07-27	A.2.b.2_111
A_OP904176	OP904176	Australia	2019-07-26	GB	OP904176_Australia_2019-07-26	A.2.b.2_111
A_OP904179	OP904179	Australia	2019-07-25	GB	OP904179_Australia_2019-07-25	A.2.b.2_111
A_OY757613	OY757613	Australia	2019-08-22	GB	OY757613_Australia_2019-08-22	A.2.b.2_111
A_OY757629	OY757629	Australia	2019-08-22	GB	OY757629_Australia_2019-08-22	A.2.b.2_111
A_MK087726	MK087726	China	2018-04-01	GB	MK087726_China_2018-04-01	A.2.b.2_111
A_MN745084	MN745084	China	2017-04-13	GB	MN745084_China_2017-04-13	A.2.b.2_111
A_MN745085	MN745085	China	2017-04-20	GB	MN745085_China_2017-04-20	A.2.b.2_111
A_MN745086	MN745086	China	2017-05-18	GB	MN745086_China_2017-05-18	A.2.b.2_111
A_MN745087	MN745087	China	2018-03-12	GB	MN745087_China_2018-03-12	A.2.b.2_111
A_MZ851793	MZ851793	China	2018-12-01	GB	MZ851793_China_2018-12-01	A.2.b.2_111
A_MZ851794	MZ851794	China	2019-03-01	GB	MZ851794_China_2019-03-01	A.2.b.2_111
A_MZ851795	MZ851795	China	2018-06-01	GB	MZ851795_China_2018-06-01	A.2.b.2_111
A_MZ851796	MZ851796	China	2018-07-01	GB	MZ851796_China_2018-07-01	A.2.b.2_111
A_MZ851797	MZ851797	China	2019-02-01	GB	MZ851797_China_2019-02-01	A.2.b.2_111
A_MZ851992	MZ851992	China	2018-05-01	GB	MZ851992_China_2018-05-01	A.2.b.2_111
A_MZ851993	MZ851993	China	2018-05-01	GB	MZ851993_China_2018-05-01	A.2.b.2_111
A_OM262393	OM262393	China	2019	GB	OM262393_China_2019	A.2.b.2_111
A_OM262394	OM262394	China	2018	GB	OM262394_China_2018	A.2.b.2_111
A_OM262395	OM262395	China	2019	GB	OM262395_China_2019	A.2.b.2_111
A_OM262396	OM262396	China	2019	GB	OM262396_China_2019	A.2.b.2_111
A_OM262397	OM262397	China	2019	GB	OM262397_China_2019	A.2.b.2_111
A_OP345076	OP345076	China	2018-05-01	GB	OP345076_China_2018-05-01	A.2.b.2_111
A_OP345077	OP345077	China	2018-05-01	GB	OP345077_China_2018-05-01	A.2.b.2_111
A_OP345078	OP345078	China	2018-11-01	GB	OP345078_China_2018-11-01	A.2.b.2_111
A_OP345079	OP345079	China	2018-11-01	GB	OP345079_China_2018-11-01	A.2.b.2_111
A_OP345080	OP345080	China	2018-11-01	GB	OP345080_China_2018-11-01	A.2.b.2_111
A_OP345081	OP345081	China	2018-12-01	GB	OP345081_China_2018-12-01	A.2.b.2_111
A_OP345082	OP345082	China	2018-12-01	GB	OP345082_China_2018-12-01	A.2.b.2_111
A_OP345083	OP345083	China	2019-02-01	GB	OP345083_China_2019-02-01	A.2.b.2_111
A_OP345084	OP345084	China	2019-03-01	GB	OP345084_China_2019-03-01	A.2.b.2_111
A_OP358284	OP358284	China	2018-04-01	GB	OP358284_China_2018-04-01	A.2.b.2_111
A_OP358285	OP358285	China	2019	GB	OP358285_China_2019	A.2.b.2_111
A_OP358287	OP358287	China	2019	GB	OP358287_China_2019	A.2.b.2_111
A_OP358288	OP358288	China	2019-03-01	GB	OP358288_China_2019-03-01	A.2.b.2_111
A_OR671979	OR671979	China	2020-09-23	GB	OR671979_China_2020-09-23	A.2.b.2_111
A_OR671980	OR671980	China	2020-09-23	GB	OR671980_China_2020-09-23	A.2.b.2_111
A_OR883672	OR883672	China	2020-09-23	GB	OR883672_China_2020-09-23	A.2.b.2_111
A_OR883673	OR883673	China	2020-09-23	GB	OR883673_China_2020-09-23	A.2.b.2_111
A_PP315925	PP315925	China	2023-08-01	GB	PP315925_China_2023-08-01	A.2.b.2_111
A_LC671555	LC671555	Japan	2018-02-27	GB	LC671555_Japan_2018-02-27	A.2.b.2_111
A_LC671556	LC671556	Japan	2018-03-17	GB	LC671556_Japan_2018-03-17	A.2.b.2_111
A_LC769208	LC769208	Japan	2018	GB	LC769208_Japan_2018	A.2.b.2_111
A_LC769209	LC769209	Japan	2019	GB	LC769209_Japan_2019	A.2.b.2_111
A_LC769213	LC769213	Japan	2019	GB	LC769213_Japan_2019	A.2.b.2_111
A_LC769214	LC769214	Japan	2019	GB	LC769214_Japan_2019	A.2.b.2_111
A_LC769215	LC769215	Japan	2019	GB	LC769215_Japan_2019	A.2.b.2_111
A_LC769216	LC769216	Japan	2019	GB	LC769216_Japan_2019	A.2.b.2_111
A_LC769219	LC769219	Japan	2019	GB	LC769219_Japan_2019	A.2.b.2_111
A_LC823194	LC823194	Japan	2023	GB	LC823194_Japan_2023	A.2.b.2_111
A_LC823195	LC823195	Japan	2023	GB	LC823195_Japan_2023	A.2.b.2_111
A_OL794382	OL794382	Netherlands	2016	GB	OL794382_Netherlands_2016	A.2.b.2_111
A_OL794404	OL794404	Netherlands	2017	GB	OL794404_Netherlands_2017	A.2.b.2_111
A_OL794418	OL794418	Netherlands	2017	GB	OL794418_Netherlands_2017	A.2.b.2_111
A_OL794419	OL794419	Netherlands	2018	GB	OL794419_Netherlands_2018	A.2.b.2_111
A_OL794443	OL794443	Netherlands	2018	GB	OL794443_Netherlands_2018	A.2.b.2_111
A_OL794464	OL794464	Netherlands	2015	GB	OL794464_Netherlands_2015	A.2.b.2_111
A_OL794481	OL794481	Netherlands	2015	GB	OL794481_Netherlands_2015	A.2.b.2_111
A_PP716093	PP716093	Russia	2023-06-22	GB	PP716093_Russia_2023-06-22	A.2.b.2_111
A_PP716094	PP716094	Russia	2023-06-22	GB	PP716094_Russia_2023-06-22	A.2.b.2_111
A_PP716095	PP716095	Russia	2023-10-19	GB	PP716095_Russia_2023-10-19	A.2.b.2_111
A_PP716096	PP716096	Russia	2023-02-20	GB	PP716096_Russia_2023-02-20	A.2.b.2_111
A_MF045424	MF045424	USA	2015	GB	MF045424_USA_2015	A.2.b.2_111
A_MK167040	MK167040	USA	2017	GB	MK167040_USA_2017	A.2.b.2_111
A_MN306024	MN306024	USA	2019	GB	MN306024_USA_2019	A.2.b.2_111
A_MN306028	MN306028	USA	2019	GB	MN306028_USA_2019	A.2.b.2_111
A_PP591752	PP591752	USA	2023-03-03	GB	PP591752_USA_2023-03-03	A.2.b.2_111
A_PP591753	PP591753	USA	2023-02-03	GB	PP591753_USA_2023-02-03	A.2.b.2_111
A_PP591754	PP591754	USA	2023-03-14	GB	PP591754_USA_2023-03-14	A.2.b.2_111
A_PP947553	PP947553	USA	2020-02-10	GB	PP947553_USA_2020-02-10	A.2.b.2_111
A_PP947556	PP947556	USA	2020-03-01	GB	PP947556_USA_2020-03-01	A.2.b.2_111
A_PP947557	PP947557	USA	2020-01-08	GB	PP947557_USA_2020-01-08	A.2.b.2_111
A_PP947559	PP947559	USA	2020-03-09	GB	PP947559_USA_2020-03-09	A.2.b.2_111
A_PP947562	PP947562	USA	2019-12-29	GB	PP947562_USA_2019-12-29	A.2.b.2_111
A_PP947563	PP947563	USA	2020-03-07	GB	PP947563_USA_2020-03-07	A.2.b.2_111
A_PP947574	PP947574	USA	2020-02-26	GB	PP947574_USA_2020-02-26	A.2.b.2_111
A_PP947575	PP947575	USA	2019-05-14	GB	PP947575_USA_2019-05-14	A.2.b.2_111
A_PP947590	PP947590	USA	2020-02-27	GB	PP947590_USA_2020-02-27	A.2.b.2_111
A_PP947595	PP947595	USA	2020-02-29	GB	PP947595_USA_2020-02-29	A.2.b.2_111
A_PP947597	PP947597	USA	2019-12-19	GB	PP947597_USA_2019-12-19	A.2.b.2_111
A_PP947599	PP947599	USA	2020-03-12	GB	PP947599_USA_2020-03-12	A.2.b.2_111
A_PP947600	PP947600	USA	2019-05-13	GB	PP947600_USA_2019-05-13	A.2.b.2_111
A_PP947602	PP947602	USA	2020-02-21	GB	PP947602_USA_2020-02-21	A.2.b.2_111
A_PP947607	PP947607	USA	2020-03-05	GB	PP947607_USA_2020-03-05	A.2.b.2_111
A_PP947610	PP947610	USA	2020-02-17	GB	PP947610_USA_2020-02-17	A.2.b.2_111
A_PP947612	PP947612	USA	2020-01-28	GB	PP947612_USA_2020-01-28	A.2.b.2_111
A_PP947613	PP947613	USA	2020-03-01	GB	PP947613_USA_2020-03-01	A.2.b.2_111
A_PP947618	PP947618	USA	2020-03-23	GB	PP947618_USA_2020-03-23	A.2.b.2_111
A_PP947622	PP947622	USA	2019-02-27	GB	PP947622_USA_2019-02-27	A.2.b.2_111
A_PP947628	PP947628	USA	2019-12-28	GB	PP947628_USA_2019-12-28	A.2.b.2_111
A_PP947632	PP947632	USA	2021-06-26	GB	PP947632_USA_2021-06-26	A.2.b.2_111
A_PP947633	PP947633	USA	2020-02-17	GB	PP947633_USA_2020-02-17	A.2.b.2_111
A_PP947635	PP947635	USA	2020-01-22	GB	PP947635_USA_2020-01-22	A.2.b.2_111
A_PP947636	PP947636	USA	2020-02-28	GB	PP947636_USA_2020-02-28	A.2.b.2_111
A_PP947638	PP947638	USA	2019-03-31	GB	PP947638_USA_2019-03-31	A.2.b.2_111
A_PP947641	PP947641	USA	2020-04-01	GB	PP947641_USA_2020-04-01	A.2.b.2_111
A_PP947642	PP947642	USA	2020-03-07	GB	PP947642_USA_2020-03-07	A.2.b.2_111
A_PP947643	PP947643	USA	2020-02-26	GB	PP947643_USA_2020-02-26	A.2.b.2_111
A_PP947644	PP947644	USA	2020-01-28	GB	PP947644_USA_2020-01-28	A.2.b.2_111
A_PP947645	PP947645	USA	2020-02-18	GB	PP947645_USA_2020-02-18	A.2.b.2_111
A_PP947646	PP947646	USA	2019-04-12	GB	PP947646_USA_2019-04-12	A.2.b.2_111
A_PP947648	PP947648	USA	2020-01-22	GB	PP947648_USA_2020-01-22	A.2.b.2_111
A_PP947650	PP947650	USA	2020-03-14	GB	PP947650_USA_2020-03-14	A.2.b.2_111
A_PP947651	PP947651	USA	2020-01-28	GB	PP947651_USA_2020-01-28	A.2.b.2_111
A_PP947654	PP947654	USA	2019-03-14	GB	PP947654_USA_2019-03-14	A.2.b.2_111
A_PP947657	PP947657	USA	2020-03-16	GB	PP947657_USA_2020-03-16	A.2.b.2_111
A_PP947660	PP947660	USA	2020-03-04	GB	PP947660_USA_2020-03-04	A.2.b.2_111
A_PP947661	PP947661	USA	2020-03-06	GB	PP947661_USA_2020-03-06	A.2.b.2_111
A_PP947665	PP947665	USA	2019-05-28	GB	PP947665_USA_2019-05-28	A.2.b.2_111
A_PP947666	PP947666	USA	2020-02-26	GB	PP947666_USA_2020-02-26	A.2.b.2_111
A_PP947669	PP947669	USA	2020	GB	PP947669_USA_2020	A.2.b.2_111
A_PP947673	PP947673	USA	2020-03-13	GB	PP947673_USA_2020-03-13	A.2.b.2_111
A_PP947674	PP947674	USA	2020-01-06	GB	PP947674_USA_2020-01-06	A.2.b.2_111
A_PP947675	PP947675	USA	2019-01-22	GB	PP947675_USA_2019-01-22	A.2.b.2_111
A_PP947676	PP947676	USA	2020-01-08	GB	PP947676_USA_2020-01-08	A.2.b.2_111
A_PP947677	PP947677	USA	2019-05-21	GB	PP947677_USA_2019-05-21	A.2.b.2_111
A_PP947685	PP947685	USA	2019-12-20	GB	PP947685_USA_2019-12-20	A.2.b.2_111
A_PP947687	PP947687	USA	2020-02-04	GB	PP947687_USA_2020-02-04	A.2.b.2_111
A_PP947692	PP947692	USA	2020-03-09	GB	PP947692_USA_2020-03-09	A.2.b.2_111
A_PP947693	PP947693	USA	2020-03-10	GB	PP947693_USA_2020-03-10	A.2.b.2_111
A_PP947696	PP947696	USA	2020-03-03	GB	PP947696_USA_2020-03-03	A.2.b.2_111
A_PP947698	PP947698	USA	2020	GB	PP947698_USA_2020	A.2.b.2_111
A_PP947699	PP947699	USA	2020-01-08	GB	PP947699_USA_2020-01-08	A.2.b.2_111
A_PP947700	PP947700	USA	2019-05-03	GB	PP947700_USA_2019-05-03	A.2.b.2_111
A_PQ074242	PQ074242	USA	2024-04-16	GB	PQ074242_USA_2024-04-16	A.2.b.2_111
A_PQ117893	PQ117893	USA	2024-03-13	GB	PQ117893_USA_2024-03-13	A.2.b.2_111
A_PQ117894	PQ117894	USA	2024-05-15	GB	PQ117894_USA_2024-05-15	A.2.b.2_111
A_PQ117895	PQ117895	USA	2023-12-15	GB	PQ117895_USA_2023-12-15	A.2.b.2_111
A_PQ117898	PQ117898	USA	2024-01-12	GB	PQ117898_USA_2024-01-12	A.2.b.2_111
A_PQ117899	PQ117899	USA	2024-03-04	GB	PQ117899_USA_2024-03-04	A.2.b.2_111
A_PQ117901	PQ117901	USA	2024-03-13	GB	PQ117901_USA_2024-03-13	A.2.b.2_111
A_PQ523787	PQ523787	USA	2023-12-27	GB	PQ523787_USA_2023-12-27	A.2.b.2_111
WA_016260_2024-04-02	WA-016260	USA	2024-04-02	WA	WA-016260_USA_2024-04-02	A.2.b.2_111
WA_019738_2025-01-03	WA-019738	USA	2025-01-03	WA	WA-019738_USA_2025-01-03	A.2.b.2_111
WA_069039_2023-05-11	WA-069039	USA	2023-05-11	WA	WA-069039_USA_2023-05-11	A.2.b.2_111
WA_075517_2024-12-06	WA-075517	USA	2024-12-06	WA	WA-075517_USA_2024-12-06	A.2.b.2_111
WA_095153_2023-04-07	WA-095153	USA	2023-04-07	WA	WA-095153_USA_2023-04-07	A.2.b.2_111
WA_121520_2024-04-08	WA-121520	USA	2024-04-08	WA	WA-121520_USA_2024-04-08	A.2.b.2_111
WA_125686_2024-05-08	WA-125686	USA	2024-05-08	WA	WA-125686_USA_2024-05-08	A.2.b.2_111
WA_160466_2023-03-10	WA-160466	USA	2023-03-10	WA	WA-160466_USA_2023-03-10	A.2.b.2_111
WA_165348_2024-06-11	WA-165348	USA	2024-06-11	WA	WA-165348_USA_2024-06-11	A.2.b.2_111
WA_173450_2024-07-12	WA-173450	USA	2024-07-12	WA	WA-173450_USA_2024-07-12	A.2.b.2_111
WA_183948_2023-04-13	WA-183948	USA	2023-04-13	WA	WA-183948_USA_2023-04-13	A.2.b.2_111
WA_218608_2023-02-14	WA-218608	USA	2023-02-14	WA	WA-218608_USA_2023-02-14	A.2.b.2_111
WA_245935_2023-12-16	WA-245935	USA	2023-12-16	WA	WA-245935_USA_2023-12-16	A.2.b.2_111
WA_262330_2023-03-17	WA-262330	USA	2023-03-17	WA	WA-262330_USA_2023-03-17	A.2.b.2_111
WA_265423_2024-06-18	WA-265423	USA	2024-06-18	WA	WA-265423_USA_2024-06-18	A.2.b.2_111
WA_278518_2024-05-18	WA-278518	USA	2024-05-18	WA	WA-278518_USA_2024-05-18	A.2.b.2_111
WA_289315_2023-04-20	WA-289315	USA	2023-04-20	WA	WA-289315_USA_2023-04-20	A.2.b.2_111
WA_290786_2023-04-20	WA-290786	USA	2023-04-20	WA	WA-290786_USA_2023-04-20	A.2.b.2_111
WA_294450_2023-04-20	WA-294450	USA	2023-04-20	WA	WA-294450_USA_2023-04-20	A.2.b.2_111
WA_296143_2023-03-18	WA-296143	USA	2023-03-18	WA	WA-296143_USA_2023-03-18	A.2.b.2_111
WA_297954_2024-07-12	WA-297954	USA	2024-07-12	WA	WA-297954_USA_2024-07-12	A.2.b.2_111
WA_306768_2024-06-21	WA-306768	USA	2024-06-21	WA	WA-306768_USA_2024-06-21	A.2.b.2_111
WA_316091_2024-06-21	WA-316091	USA	2024-06-21	WA	WA-316091_USA_2024-06-21	A.2.b.2_111
WA_317785_2023-11-21	WA-317785	USA	2023-11-21	WA	WA-317785_USA_2023-11-21	A.2.b.2_111
WA_320618_2023-05-20	WA-320618	USA	2023-05-20	WA	WA-320618_USA_2023-05-20	A.2.b.2_111
WA_333133_2023-04-22	WA-333133	USA	2023-04-22	WA	WA-333133_USA_2023-04-22	A.2.b.2_111
WA_338285_2023-06-23	WA-338285	USA	2023-06-23	WA	WA-338285_USA_2023-06-23	A.2.b.2_111
WA_341713_2024-05-22	WA-341713	USA	2024-05-22	WA	WA-341713_USA_2024-05-22	A.2.b.2_111
WA_341983_2024-04-23	WA-341983	USA	2024-04-23	WA	WA-341983_USA_2024-04-23	A.2.b.2_111
WA_347299_2023-02-22	WA-347299	USA	2023-02-22	WA	WA-347299_USA_2023-02-22	A.2.b.2_111
WA_349425_2024-06-24	WA-349425	USA	2024-06-24	WA	WA-349425_USA_2024-06-24	A.2.b.2_111
WA_352340_2023-10-24	WA-352340	USA	2023-10-24	WA	WA-352340_USA_2023-10-24	A.2.b.2_111
WA_369015_2023-11-25	WA-369015	USA	2023-11-25	WA	WA-369015_USA_2023-11-25	A.2.b.2_111
WA_371807_2024-06-25	WA-371807	USA	2024-06-25	WA	WA-371807_USA_2024-06-25	A.2.b.2_111
WA_384012_2024-12-25	WA-384012	USA	2024-12-25	WA	WA-384012_USA_2024-12-25	A.2.b.2_111
WA_397462_2024-06-27	WA-397462	USA	2024-06-27	WA	WA-397462_USA_2024-06-27	A.2.b.2_111
WA_412877_2023-01-26	WA-412877	USA	2023-01-26	WA	WA-412877_USA_2023-01-26	A.2.b.2_111
WA_428781_2023-04-28	WA-428781	USA	2023-04-28	WA	WA-428781_USA_2023-04-28	A.2.b.2_111
WA_431948_2023-02-28	WA-431948	USA	2023-02-28	WA	WA-431948_USA_2023-02-28	A.2.b.2_111
WA_445077_2023-03-01	WA-445077	USA	2023-03-01	WA	WA-445077_USA_2023-03-01	A.2.b.2_111
WA_451125_2024-11-30	WA-451125	USA	2024-11-30	WA	WA-451125_USA_2024-11-30	A.2.b.2_111
WA_458679_2023-03-28	WA-458679	USA	2023-03-28	WA	WA-458679_USA_2023-03-28	A.2.b.2_111
WA_LC15_2023-03-01	WA-LC15	USA	2023-03-01	WA	WA-LC15_USA_2023-03-01	A.2.b.2_111
WA_LC23_2023-03-01	WA-LC23	USA	2023-03-01	WA	WA-LC23_USA_2023-03-01	A.2.b.2_111
WA_LC24_2023-03-01	WA-LC24	USA	2023-03-01	WA	WA-LC24_USA_2023-03-01	A.2.b.2_111
WA_LC26_2023-03-01	WA-LC26	USA	2023-03-01	WA	WA-LC26_USA_2023-03-01	A.2.b.2_111
WA_LC31_2023-04-01	WA-LC31	USA	2023-04-01	WA	WA-LC31_USA_2023-04-01	A.2.b.2_111
WA_LC40_2023-04-01	WA-LC40	USA	2023-04-01	WA	WA-LC40_USA_2023-04-01	A.2.b.2_111
WA_LC44_2023-05-01	WA-LC44	USA	2023-05-01	WA	WA-LC44_USA_2023-05-01	A.2.b.2_111
WA_LC48_2023-06-01	WA-LC48	USA	2023-06-01	WA	WA-LC48_USA_2023-06-01	A.2.b.2_111
WA_LC51_2023-06-01	WA-LC51	USA	2023-06-01	WA	WA-LC51_USA_2023-06-01	A.2.b.2_111
WA_LC52_2023-06-01	WA-LC52	USA	2023-06-01	WA	WA-LC52_USA_2023-06-01	A.2.b.2_111
WA_LC53_2023-11-01	WA-LC53	USA	2023-11-01	WA	WA-LC53_USA_2023-11-01	A.2.b.2_111
WA_LC59_2023-12-01	WA-LC59	USA	2023-12-01	WA	WA-LC59_USA_2023-12-01	A.2.b.2_111
WA_LCB61_2024-11-01	WA-LCB61	USA	2024-11-01	WA	WA-LCB61_USA_2024-11-01	A.2.b.2_111
WA_LCB63_2024-12-01	WA-LCB63	USA	2024-12-01	WA	WA-LCB63_USA_2024-12-01	A.2.b.2_111
